city,facility,role,employment,pay_type,pay_min,pay_max,source_url
草津市,プティット草津ルームの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1080,1189,https://job-medley.com/apl/839185/
草津市,放課後等デイサービスセンターこころねの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1100,1100,https://job-medley.com/apl/1245953/
草津市,成基の療育教室ゴールフリーB5草津教室【2026年06月オープン】の児童指導員求人,児童指導員,パート,時給,1200,1800,https://job-medley.com/apl/1625011/
草津市,児童発達支援・放課後等デイサービス ヒトツナ志津教室【2026年01月オープン】の児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1100,1100,https://job-medley.com/apl/1439920/
草津市,ジュニアスペースらいぶ草津アネックスの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1330,1360,https://job-medley.com/apl/1065765/
草津市,ジュニアスペースらいぶ草津の児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1230,1260,https://job-medley.com/apl/1065764/
草津市,KID ACADEMY⁺草津校【2026年05月01日オープン】の児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1200,1500,https://job-medley.com/apl/1628205/
草津市,放課後等デイサービス あおぞらの児童指導員/指導員求人（パート・バイト）,児童指導員,パート,時給,1080,1080,https://job-medley.com/apl/1373213/
草津市,ANERAの児童指導員求人,児童指導員,パート,時給,1100,1200,https://job-medley.com/apl/1405083/
草津市,帰帆リハビリデイサービスの作業療法士求人（正職員）,専門職員,正職員,月給,250000,300000,https://job-medley.com/ot/1371428/
草津市,コペルプラス草津教室の指導員求人,専門職員,正職員,月給,245000,265000,https://job-medley.com/ot/1294167/
草津市,就労移行支援事業所 クロスジョブ 草津の作業療法士求人,専門職員,正職員,月給,240000,240000,https://job-medley.com/ot/1414612/
草津市,こどもサポート教室「きらり」草津駅前校の作業療法士求人,専門職員,正職員,月給,223630,223630,https://job-medley.com/ot/1187583/
草津市,こどもサポート教室「きらり」草津駅前校第2の作業療法士求人,専門職員,正職員,月給,220440,220440,https://job-medley.com/ot/1652356/
草津市,指定居宅介護支援事業所 ケアプランそらの作業療法士求人,専門職員,正職員,月給,250000,300000,https://job-medley.com/ot/1154719/
草津市,南草津病院の作業療法士求人（正職員）,専門職員,正職員,月給,227000,370500,https://job-medley.com/ot/1437682/
草津市,介護老人保健施設ケアタウン南草津の作業療法士求人,専門職員,正職員,月給,225000,279000,https://job-medley.com/ot/1688657/
草津市,訪問看護ステーション アイリハの作業療法士求人,専門職員,正職員,月給,270000,270000,https://job-medley.com/ot/1324390/
草津市,帰帆リハビリデイサービスの機能訓練指導員求人,専門職員,パート,時給,1400,1500,https://job-medley.com/ot/1694100/
草津市,リハビリスタジオ夕照の作業療法士求人,専門職員,パート,時給,1500,2000,https://job-medley.com/ot/1641079/
草津市,訪問看護ステーション Creetの作業療法士求人,専門職員,パート,時給,2200,2200,https://job-medley.com/ot/1733862/
草津市,ナーシングホーム悠ライフ草津の作業療法士求人,専門職員,パート,時給,1550,1550,https://job-medley.com/ot/1560983/
草津市,南草津病院の作業療法士求人（パート・バイト）,専門職員,パート,時給,1693,1793,https://job-medley.com/ot/1655297/
草津市,Jump wellness株式会社・リハビリ整体＆トレーニングJumpの理学療法士求人（正職員）,専門職員,正職員,月給,275000,370000,https://job-medley.com/pt/1251632/
草津市,帰帆リハビリデイサービスの理学療法士求人（正職員）,専門職員,正職員,月給,250000,300000,https://job-medley.com/pt/1371429/
草津市,コペルプラス草津教室の指導員求人,専門職員,正職員,月給,245000,265000,https://job-medley.com/pt/1294166/
草津市,筋膜カッパ整体院 草津店の理学療法士求人,専門職員,正職員,月給,280000,420000,https://job-medley.com/pt/953418/
草津市,こどもサポート教室「きらり」草津駅前校第2の理学療法士求人,専門職員,正職員,月給,220440,220440,https://job-medley.com/pt/1652386/
草津市,こどもサポート教室「きらり」草津駅前校の理学療法士求人,専門職員,正職員,月給,223630,223630,https://job-medley.com/pt/1187771/
草津市,指定居宅介護支援事業所 ケアプランそらの理学療法士求人,専門職員,正職員,月給,250000,300000,https://job-medley.com/pt/1146784/
草津市,南草津病院の理学療法士求人（正職員）,専門職員,正職員,月給,227000,370500,https://job-medley.com/pt/1437681/
草津市,介護老人保健施設ケアタウン南草津の理学療法士求人,専門職員,正職員,月給,225000,279000,https://job-medley.com/pt/1688655/
草津市,訪問看護ステーション アイリハの理学療法士求人,専門職員,正職員,月給,270000,270000,https://job-medley.com/pt/1337379/
草津市,心身堂鍼灸整骨院 草津院の理学療法士求人,専門職員,正職員,月給,250000,300000,https://job-medley.com/pt/756811/
草津市,帰帆リハビリデイサービスの機能訓練指導員求人,専門職員,パート,時給,1500,1500,https://job-medley.com/pt/1529596/
草津市,帰帆リハビリデイサービスの機能訓練指導員求人,専門職員,パート,時給,1500,1500,https://job-medley.com/pt/1464881/
草津市,リハビリスタジオ夕照の理学療法士求人,専門職員,パート,時給,1500,2000,https://job-medley.com/pt/1641075/
草津市,訪問看護ステーション Creetの理学療法士求人,専門職員,パート,時給,2200,2200,https://job-medley.com/pt/1733860/
草津市,訪問看護ハートケアしがの理学療法士求人,専門職員,パート,時給,1800,2000,https://job-medley.com/pt/1422012/
草津市,南草津病院の理学療法士求人（パート・バイト）,専門職員,パート,時給,1693,1793,https://job-medley.com/pt/1655299/
草津市,コペルプラス草津教室の指導員求人,専門職員,正職員,月給,245000,265000,https://job-medley.com/st/1294168/
草津市,こどもサポート教室「きらり」草津駅前校第2の言語聴覚士求人,専門職員,正職員,月給,220440,220440,https://job-medley.com/st/1652419/
草津市,こどもサポート教室「きらり」草津駅前校の言語聴覚士求人,専門職員,正職員,月給,223630,223630,https://job-medley.com/st/1187959/
草津市,指定居宅介護支援事業所 ケアプランそらの言語聴覚士求人,専門職員,正職員,月給,250000,300000,https://job-medley.com/st/1154720/
草津市,リニエプラッツ草津の言語聴覚士求人（正職員）,専門職員,正職員,月給,283100,283100,https://job-medley.com/st/1185764/
草津市,医療・介護保険事業所ライフパートナーの言語聴覚士求人（正職員）,専門職員,正職員,月給,280000,315000,https://job-medley.com/st/1537219/
草津市,医療・介護保険事業所ライフパートナーの訪問リハビリスタッフ求人,専門職員,パート,時給,1500,1950,https://job-medley.com/st/1537240/
草津市,コペルプラス草津教室の指導員求人,専門職員,正職員,月給,245000,265000,https://job-medley.com/cp/1294169/
草津市,こどもサポート教室「きらり」草津駅前校第2の公認心理師/臨床心理士求人,専門職員,正職員,月給,220440,220440,https://job-medley.com/cp/1652495/
草津市,こどもサポート教室「きらり」草津駅前校の公認心理師/臨床心理士求人,専門職員,正職員,月給,223630,223630,https://job-medley.com/cp/1188147/
守山市,放課後等デイサービス凜守山の児童発達支援管理責任者求人,児発管,正職員,月給,222000,337000,https://job-medley.com/nm/475546/
守山市,すくすく広場だいちの児童発達支援管理責任者求人,児発管,正職員,月給,280000,280000,https://job-medley.com/nm/1176752/
守山市,放課後等デイサービスからふるの指導員求人,児発管,正職員,月給,211500,211500,https://job-medley.com/nm/1538310/
